昵称,wxid,微信号,描述
"大一新生墙",,kx9898098,"课程类广告"
"小喇叭",25984982374069732@openim,,"营销号广告"
"",25984982595168599@openim,,"营销号广告"
"",25984982717842946@openim,,"通知群类广告"
"糖糖",wdod_3a7jpqmt5cyk22,dki22453,"色情类广告"
"yyy",wxid_00qhwwkbo92c22,,"兼职类广告"
"X.",wxid_02o6s3bugkhl12,,"课程类广告"
"罗老师*11",wxid_0cwzvndzkjvs22,,"兼职类广告"
"欣欣",wxid_0il44likbk6w12,ALG112255,"色情广告"
"-",wxid_0rvy86ojpyp922,Jwror-,"商品类广告"
"拿烟直接私聊dd",wxid_12sxq4evrrat22,HZQloveHZC220819,"商品类广告"
"图图",wxid_13y599lpki0d12,,"课程类广告"
"吖吖",wxid_150z31qprvnk22,xinrujj,"商品类广告"
"Re-",wxid_1575575756612,CLZJ4201,"商品类广告"
"懒洋洋",wxid_16ovouxxjyh122,,"兼职类广告"
"咔咔",wxid_17af7ogtt4bg22,kaka85856,"商品类广告"
"陈梦婷",wxid_18h1fyoz1lon22,K991979,"商品类广告"
"李诗雨",wxid_1ecg3tg9e9qw22,wryznn,"商品类广告"
"老灵魂",wxid_1lvucs1es3vc22,yigemaixieren4,"商品类广告"
"9 （招代理＋换群）",wxid_1opmemfenq3o22,,"兼职类广告"
"plus",wxid_1prhgsumn8m222,,"兼职类广告"
"蜜雪冰城",wxid_1r4nz7ddlys422,,"兼职类广告"
"小钰🎀",wxid_1xjgy9enj7v612,_yutingbaby,"色情类广告"
"Scho",wxid_1z9b6wmnb1wv12,XD_888899,"商品类广告"
"T",wxid_20n3enw1yc7c22,Ayu991999,"商品类广告"
"小i",wxid_21ridj5cvba322,_baobao17,"商品类广告"
"奶茶妹妹",wxid_27vgw9ioeu5n12,,"色情类广告"
"TR127",wxid_2eodmyuiwnut22,,"课程类广告"
"天空",wxid_2ytnnw95uxi722,,"色情类广告"
"晨晨",wxid_3215502164912,dearxiaoda,"色情类广告"
"丽",wxid_37uf8jrk6b9422,ovoghjk,"色情类广告"
"77不吃香菜",wxid_3b0a2fb6tow822,laji444y,"色情类广告"
"大饼饼饼",wxid_3hfvwda7i8i822,,"推广类广告"
"夕何夕",wxid_3i4srn1q09wy22,wxidwsnd1233,"色情类广告"
"图灵 家教刘老师",wxid_3i8qfyek1h2822,,"兼职类广告"
"兔球球",wxid_3k25kho1lrc522,,"兼职类广告"
"慧慧",wxid_3n0uc6of0s8o22,li1991039,"微商"
"佳妮",wxid_40od21qan0cz22,CNiNG0601,"微商"
"余小小",wxid_48xeljthbf9u12,,"色情类广告"
"建设劳动学会",wxid_4gn9g4y4quvi22,,"证书类广告"
"冰冻助手",wxid_4l3yu6csnbdv22,MMMNFM,"商品类广告"
"深潜~1998",wxid_4lx5nsahwynb21,,"拉人进群"
"....",wxid_4mrnsp77r2qm22,XBX1207T,"微商"
"玉",wxid_4sc2e6f213tr22,yuelll406,"兼职类广告"
"GGB-",wxid_4uq6buiw424h12,yanyan_821_,"微商"
"奈",wxid_51w5h180wn5t22,xue9908989,"色情类广告"
"佳璇",wxid_5320963081512,,"课程类广告"
"Hai",wxid_5gfgygytfvi722,tfvi722,"微商"
"胖胖",wxid_5pi2wz2h5pfj22,j4212-,"微商"
"合作",wxid_5uscz0lgeg5322,,"医疗类广告"
"陈",wxid_5wdn3o1nsg1c22,,"拉人进群"
"随意",wxid_5y1bz5axnvs122,,"课程类广告"
"婷",wxid_66dqpnsztufj22,gannixf741,"色情类广告"
"王宝兔",wxid_6akulpddjrd412,,"兼职类广告"
"孙溪遥",wxid_6kj37jtb1vvc12,,"课程类广告"
"Aimee",wxid_6kz6h8zo1gsh12,X514731,"微商"
"你的外卖到了",wxid_71ve8vxgpd7522,TuTu200122,"微商"
"嘉念",wxid_78n4r0w8v4sy22,CurryB21,"微商"
"哆啦",wxid_7c2d8f5s0ifd22,,"课程类广告"
"咖啡不加糖好噗",wxid_7f54z7rtr9lj21,,"兼职类广告"
"八月",wxid_7fvnugocxnsh12,,"通知群类广告"
"Cara馨",wxid_7k9m1mlds8yn22,ggumttx,"色情类广告"
"甜芯",wxid_7kgk4fbcytyg22,mm36d00,"色情类广告"
"水蜜桃",wxid_7ld1zm5azcjk22,ly50002000,"商品类广告"
"Y",wxid_7qpx5y74yfd12,,"兼职类广告"
"茶茶芙",wxid_7unmawpz6r5q22,xx06qq06,"微商"
"抉择",wxid_89y2ocs6ja9a22,lllp-007,"色情类广告"
"恒宸",wxid_8c3d5vtwwxon12,,"课程类广告"
"星辰",wxid_8cw9fir0rc6g12,,"课程类广告"
"山楂",wxid_8l2zb4hulnm112,W0831J1202,"色情类广告"
"LD专柜",wxid_8or957lqfvut12,tingting13-,"微商"
"泡泡肥猫",wxid_8v8z3t6tbrgs22,o1426136077,"微商"
"谭嘉威",wxid_8y7inlizdwbs12,,"学车广告"
"无关风月",wxid_91de0r6msajh12,,"拉广告进群"
"Onemb",wxid_92qvrltwwcrs12,DD969610,"微商"
"sater",wxid_92yrys1okrvz22,,"课程类广告"
"💭",wxid_9708837088212,wx994276764,"课程类广告"
"Estrella",wxid_9q403qsdu72s22,,"兼职类广告"
"嘉佳",wxid_9ug48a1uwuq212,kangjia429,"微商"
"小妍",wxid_9y8ab38nlc7f22,,"课程类广告"
"糖果",wxid_a02vilw6zizw22,www2446086817,"色情类广告"
"A学姐",wxid_acxci9ep7w5j12,WGYDFH,"商品类广告"
"葵",wxid_adayca7ae0jk22,,"兼职类广告"
"困困",wxid_adjx1g5ngkj722,ag34768,"色情类广告"
"",wxid_afohop6j2wqv22,,"课程类广告"
"wu",wxid_ah6q2qhj8wx112,YfEliauk55,"微商"
"胡鑫雨",wxid_al3x469rntqv22,hxy329329329,"拉人进群"
"涵涵",wxid_ast41txt76si12,,"色情类广告"
"陈梦婷",wxid_ba4r26b3w6f322,zxcb792459,"色情类广告"
"李晓镭",wxid_bbjvkc8n8bci12,Cps239,"商品类广告"
"普通观众",wxid_bmtlz57qv8f322,CYQLPH1314,"微商"
"小岚",wxid_bt8b8chojb6g22,,"购物类广告"
"AA+人事招聘",wxid_bvosdkoxh47p22,,"兼职类广告"
"NN",wxid_c92rbzzwb0px22,,"课程类广告"
"张嘉❤",wxid_cktabaj81rd122,Sunny9815613,"兼职类广告"
"NN",wxid_cqf5ku7s0xl212,ZzzRe_,"商品类广告"
"",wxid_crb2daebjeh522,,"拉广告进群"
"czzzzzzz",wxid_d26ed77b34ta22,,"兼职类广告"
"图灵",wxid_d4y7qqc9c0gj22,,"兼职类广告"
"Aneen",wxid_d8vt0w6nikeu12,een0019,"商品类广告"
